index,label,tweet_id
0,1,819697724597698560
1,1,822639995995492353
2,1,822519897129361408
3,0,818119330785361921
4,0,818050150446690305
5,1,821023934070067201
6,1,817038047229386752
7,1,821148841093238785
8,1,823356224003395584
9,0,816141394880458753
10,1,823755770332409856
11,1,825215320965128192
12,1,823736875341017088
13,1,816833554009165824
14,1,819377768546861059
15,0,820813555624714240
16,0,820135717271695368
17,1,821966465574178816
18,1,819248467285540864
19,1,816485341565751296
20,0,820809957465526273
21,1,819750111471431681
22,1,818165270707511296
23,1,819623119107276800
24,0,821045453592657920
25,0,825923027879751680
26,1,822148319191453697
27,0,822583747879010311
28,0,820652285856452608
29,1,818241350646829056
30,1,822878201500356609
31,1,826001708551659520
32,1,817528077110640640
33,1,826276745280057346
34,1,826145202733719552
35,1,824865434339905536
36,0,825387370140811264
37,1,822563802206076928
38,1,816678350961934336
39,1,823130877756604416
40,1,822486811230408704
41,1,824051927465988096
42,1,817834934190612481
43,1,821245816694132736
44,1,824182179567730688
45,1,823397014666969088
46,1,824089656513806336
47,1,819552314184888321
48,1,824175314096029696
49,1,825896137777434625
50,1,818755735748218885
51,0,817204019127058434
52,1,816404742821806081
53,1,823172213893435392
54,1,817852411595235329
55,1,820361232939175936
56,1,817118662087872514
57,1,820545608704401408
58,1,826314266609283073
59,1,816495848628621312
60,1,824495799430025216
61,1,819704405264048128
62,1,816681707386507264
63,1,826284527626625028
64,0,824268909360451584
65,1,825550276312522754
66,1,815800310186856448
67,0,818680051621167105
68,1,824134789657690112
69,1,822975782842757120
70,1,820906285835190272
71,1,822858482055577600
72,1,822604788995080196
73,1,817934026384080897
74,1,826121853026578432
75,0,821260798601199616
76,0,825889896351014913
77,0,826407097063587840
78,0,824026464790032386
79,0,821968016208343040
80,0,818341484239945728
81,1,823996126932111361
82,0,821940671615565824
83,1,820851271766675456
84,1,820417171557851136
85,1,820791474744860672
86,1,819811745279578116
87,1,817971127368585216
88,1,823298264535564289
89,0,815624474414329856
90,1,822813869085229056
91,0,819378925868564481
92,1,815463497752526848
93,1,815451741051293696
94,1,824425204663414784
95,0,819706345846779904
96,1,817954645050064896
97,0,822642710582534145
98,0,817583633355735044
99,1,817940133437730817
100,1,821103000261369859
101,1,820046486159392768
102,0,824936637129859073
103,1,815732659708166148
104,1,816857598406164480
105,1,822685834126172160
106,1,823856143722221568
107,1,824767056583213056
108,0,820353782278197248
109,1,823932284566810625
110,0,817359076141187072
111,1,817651789650657284
112,1,821403856575885316
113,1,825366244119375877
114,0,817820486461755393
115,1,816164347558797312
116,1,815630051509239812
117,1,817979941333544960
118,0,822297136842870785
119,1,824666555065765888
120,0,823738710571286528
121,1,817513954633191424
122,1,817713341124710400
123,0,824106647626936323
124,1,821926636769734657
125,0,823655850099298313
126,0,821273936063123457
127,1,825913130643505152
128,0,824302931574980608
129,1,823764033941762052
130,1,818845453412343808
131,0,815643396257648640
132,0,825935923653255169
133,1,825634057824264192
134,0,820520289671020545
135,1,815947131655745536
136,1,821549994285133825
137,0,820280077355249664
138,1,817517848306319360
139,0,816009983896813568
140,0,815774299176865792
141,0,815988041261006848
142,1,821200857412804609
143,0,822731038036148226
144,1,823301362217811972
145,0,817804352215744512
146,0,826288124217036800
147,0,826091443101933569
148,0,820419461144576000
149,1,817506955103260673
150,0,823402391672274946
